llave_10,fraccion_8,nico,descripcion_completa,unidad_medida,arancel_importacion,nota_importacion,arancel_exportacion,nota_exportacion,regulaciones_economia
8528720500,85287205,00,De alta definición tipo proyección por tubo de rayos catódicos.,Pza,0.0,Ex.,0.0,Ex.,NOM-192-SCFI/SCT1-2013 NOM-001-SCFI-2018 NOM-032-ENER-2013
8528720600,85287206,00,"Con pantalla plana, incluso las reconocibles como diseñadas para vehículos automóviles.",Pza,15.0,,0.0,Ex.,"Excepto: Cuando requieran para su funcionamiento una fuente de alimentación externa o, cuando por su naturaleza de operación no cuenten con la condición de funcionamiento en modo de espera. NOM-192-SCFI/SCT1-2013 NOM-208-SCFI-2016 Únicamente: Los equipos de comunicaciones por espectro disperso pere en las bandas de frecuencias 902- HZ, 2400-2483.5 MHZ y 5725- 5850 Bluetooth y/o ZigBee en las bandas 902 28 MHz y/o 2,400.00 MHz 2,483.50 MHz iFi y/o WLAN y/o WPAN y/o WAN en las s 2,400.00 MHz 2,483.50 MHz y/o .00 MHz 5,850.00 MHz). 01-SCFI-2018"
8528720700,85287207,00,"Incompletos o sin terminar (incluso los ensambles compuestos de todas las partes especificadas en la Nota Nacional 13 del Capítulo 85 más una fuente de poder), que no incorporen tubos de rayos catódicos, pantalla plana o pantalla similar.",Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8528729900,85287299,00,Los demás.,Pza,10.0,,0.0,Ex.,"NOM-032-ENER-2013 Excepto: Cuando requieran para su funcionamiento una fuente de alimentación externa o, cuando por su naturaleza de operación no cuenten con la condición de funcionamiento en modo de espera. NOM-208-SCFI-2016 Únicamente: Los equipos de radiocomunicaciones por espectro disperso que opere en las bandas de frecuencias 902- 928 MHZ, 2400-2483.5 MHZ y 5725-5850 MHZ (Bluetooth y/o ZigBee en las bandas 902 MHz 928 MHz y/o 2,400.00 MHz 2,483.50 MHz y/o WiFi y/o WLAN y/o WPAN y/o WAN en las bandas 2,400.00 MHz 2,483.50 MHz y/o 5,725.00 MHz 5,850.00 MHz). NOM-001-SCFI-2018 Únicamente: Equipos electrónicos de uso doméstico."
8528739100,85287391,00,"Los demás, monocromos.",Pza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529100901,85291009,01,"Antenas para aparatos receptores de radio o de televisión, excepto lo comprendido en los números de identificación comercial 8529.10.09.02 y 8529.10.09.07.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529100902,85291009,02,"Antenas parabólicas para transmisión y/o recepción de microondas (de más de 1 GHz), hasta 9 m, de diámetro.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529100903,85291009,03,"Guías de onda, flexibles o rígidas, con sus elementos de acoplamiento e interconexión.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529100904,85291009,04,Antenas de accionamiento eléctrico reconocibles como diseñadas exclusivamente para uso automotriz.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529100905,85291009,05,"Partes componentes de antenas, excepto varillas de ferrita para antenas incorporadas y lo comprendido en el número de identificación comercial 8529.10.09.03.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529100906,85291009,06,"Antenas, excepto lo comprendido en los números de identificación comercial 8529.10.09.01, 8529.10.09.02 y 8529.10.09.07.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529100907,85291009,07,"Antenas llamadas ""de conejo"", para aparatos receptores de televisión.",Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529100999,85291009,99,Las demás.,Kg,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529900900,85299009,00,"Combinaciones de las partes especificadas en la Nota Nacional 13 del Capítulo 85, excepto las comprendidas en la fracción arancelaria 8529.90.19.",Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
8529901300,85299013,00,Amplificadores para transmisores de señales de televisión.,Pza,0.0,Ex.,0.0,Ex.,NOM-001-SCFI-2018
8529901500,85299015,00,"Amplificadores-distribuidores, regeneradores de pulsos o de subportadora, para sistemas de televisión por cable.",Pza,5.0,,0.0,Ex.,NOM-001-SCFI-2018 e
